TeamName,TeamID,Round1,Round2,Sweet16,Elite8,Final4,Final,Champ
Georgia St,1209,1.0,0.023266017283025884,0.0035922139436692885,0.0005246365280856418,4.650353211500582e-05,3.1981300744858348e-06,2.1548038666031742e-07
Gonzaga,1211,1.0,0.9767339827169741,0.855338668349989,0.7368018271927691,0.5635193752064368,0.40804343975940854,0.2937862473584128
Houston,1222,1.0,0.7995483447045783,0.5791746358194032,0.32813231226167583,0.1893404023990017,0.1133832342075567,0.0531746720739072
Illinois,1228,1.0,0.7422153190198586,0.28792322899765227,0.10957588153369163,0.04217699110685115,0.017166480673199484,0.005012545908239972
Indiana,1231,0.5338060738755409,0.18270783244751834,0.048273226275356906,0.013990503379953658,0.0037953009767450643,0.0007571486992312431,0.00018870327517889928
Iowa,1234,1.0,0.8218453653159741,0.6280241229425045,0.31227188820922747,0.18394815951955523,0.08523493753518485,0.033167467678212915
Iowa St,1235,1.0,0.33534727650675034,0.16721605431901096,0.052812328951714144,0.014217117433791508,0.003197336547018872,0.0005769425613272093
Jacksonville St,1240,1.0,0.07387834273155358,0.014383325754818698,0.0022990140257298534,0.00020786397195568184,1.464360739614619e-05,8.047525001040372e-07
Kansas,1242,1.0,0.9621300900003913,0.7036699864921423,0.46757374575109045,0.30048936272315496,0.15607926461590238,0.06892184671379287
Kentucky,1246,1.0,0.9269841175141011,0.6741712237908446,0.43519308393543277,0.24825648264542427,0.11492688162129241,0.06518903028996734
LSU,1261,1.0,0.6646527234932497,0.4229804387779598,0.18920267764536106,0.07763191002374689,0.02663849384941396,0.007577397925954378
Longwood,1255,1.0,0.059853629180027186,0.01040050039257133,0.0010097960203094337,7.997138357988111e-05,7.677289512627504e-06,4.406755388822616e-07
Loyola-Chicago,1260,1.0,0.5347473299117461,0.18193805858779996,0.06491872484519685,0.020920582648216945,0.007827467569263884,0.001989856929636222
Marquette,1266,1.0,0.4205017468545952,0.09790887830217412,0.025941655109764764,0.006784011001818437,0.0012473915697372765,0.00029672216813163136
Memphis,1272,1.0,0.5144893640503512,0.0763591152302792,0.03605775449738557,0.011883013097588971,0.003399817290121174,0.0009750379990806021
Miami FL,1274,1.0,0.4265967911229803,0.10875861742667454,0.04306569293637099,0.010873425496582177,0.00217923975183267,0.0003534020083541454
Michigan,1276,1.0,0.5140579829871157,0.13693112524618548,0.0448988165593288,0.01233128047383139,0.004010539634123392,0.0008568623003921197
Michigan St,1277,1.0,0.5222030121202899,0.1644004976871886,0.050292856015363416,0.010007527666854862,0.0025580675194581334,0.0006563924483029633
Montana St,1286,1.0,0.07390705892288403,0.01527629203181596,0.0021462034033897133,0.00015351775188578116,1.3444867731623096e-05,1.1881735900868082e-06
Murray St,1293,1.0,0.4223120414991295,0.12088978749748301,0.04342226828570363,0.012841213334499344,0.002908497398894603,0.0008463794809621852
New Mexico St,1308,1.0,0.26835954765163983,0.08509856464040048,0.009355465026138043,0.0018764332482178263,0.0003117291420708841,5.1964347509909635e-05
Norfolk St,1313,1.0,0.04768730446147795,0.006965583032959745,0.000495101813343287,3.3561853934574595e-05,1.5595533194325397e-06,9.301701086217962e-08
North Carolina,1314,1.0,0.5794982531454048,0.15929707852147862,0.04960443955318736,0.015413865002063572,0.0033937301080081204,0.0009602923508481649
Notre Dame,1323,0.5607928306976003,0.23081536553671106,0.05638501112964259,0.018401487853903307,0.0033102742800444644,0.0007634812463064837,0.00017601259573189025
Ohio St,1326,1.0,0.4652526700882539,0.13819761115899878,0.043853705262011586,0.012214402745652787,0.004025264618007397,0.0008748267800731441
Providence,1344,1.0,0.5511821015336333,0.17588895551352038,0.04810963883564832,0.0163089207364208,0.0036753916909979664,0.0006715196083668024
Purdue,1345,1.0,0.9067825508584009,0.514621325356051,0.2443620443208987,0.11028481351500834,0.03904471159510337,0.01741866882188421
Richmond,1350,1.0,0.17815463468402593,0.07410842208306426,0.014314417865189904,0.00352488564998473,0.0005464465940084166,6.832873145081196e-05
Rutgers,1353,0.43920716930239967,0.14743610445853422,0.028872314582040856,0.0076011410076023255,0.0010749773680463386,0.00019576338848252103,3.513799199121539e-05
S Dakota St,1355,1.0,0.44881789846636666,0.12197849946091081,0.02719164057292623,0.0076470553535155335,0.0013820033341767526,0.00020235408049542255
San Diego St,1361,1.0,0.6526997044696315,0.21966874817012969,0.10620800171162695,0.047946201773537776,0.015376614532712333,0.004090265552937983
San Francisco,1362,1.0,0.5776879585008705,0.1913167587262444,0.08280806582190413,0.028664009301948446,0.007618705391090726,0.0025954044366586905
Seton Hall,1371,1.0,0.4814415457654529,0.1107226965725797,0.034438736220651876,0.009557778384082165,0.0029780894311012087,0.0006050726746352167
St Mary's CA,1388,1.0,0.6634106107194655,0.24928317601818875,0.10467552277886269,0.04415471002122087,0.013098661458757491,0.0049582217557682376
St Peter's,1389,1.0,0.07301588248589885,0.013622229985427947,0.0017778233232498297,0.00017698770631770398,1.2790377767847375e-05,1.196147215260029e-06
TAM C. Christi,1394,0.33928973036135324,0.008550449249014892,0.0006070461847674212,3.692246963905943e-05,1.8331611921438558e-06,5.104994310438789e-08,1.1234505146073128e-09
TCU,1395,1.0,0.5185584542345472,0.11871551927555225,0.03677041781829682,0.010159453515574764,0.0031520200712344213,0.0006388003694316532
TX Southern,1411,0.6607102696386468,0.029319460750593863,0.0035271553046914168,0.00036077513211850594,3.0595109041741254e-05,1.5383859112014778e-06,6.058481357868233e-08
Tennessee,1397,1.0,0.9401463708199728,0.7217995351601224,0.4262559158254139,0.22447281658194265,0.13232457496119115,0.058496592781350804
Texas,1400,1.0,0.5543187013279742,0.2795491231174915,0.12058791305438205,0.048699883085479366,0.015098435222212287,0.006035288942121835
Texas Tech,1403,1.0,0.9260929410771159,0.6996004371717144,0.43376431799383597,0.17314532130832466,0.0904438748921323,0.046967342606309685
UAB,1412,1.0,0.20045165529542175,0.0846910881267106,0.02211243876688226,0.005941189966085887,0.0017205050421607501,0.0003275586323783092
UCLA,1417,1.0,0.9302078070294426,0.6530419509802918,0.36268052659088795,0.2060094182366616,0.08757012427829249,0.045994977218826644
USC,1425,1.0,0.5734032088770197,0.1679089922220068,0.07503987430471812,0.0225624883414006,0.005507506430038835,0.0011021291749692527
Vermont,1436,1.0,0.3500634453408943,0.14446545726027393,0.020792739093218982,0.00564135081727544,0.0013103628716381718,0.0002936362627336942
Villanova,1437,1.0,0.9337071444459848,0.6703366561556096,0.3755749592508569,0.18620130139582017,0.10407945479020472,0.04367587295342878
Virginia Tech,1439,1.0,0.44568129867202577,0.19383396919729257,0.0707329158260575,0.024757728410418452,0.006477471991347486,0.002179677627820009
Wisconsin,1458,1.0,0.8047371450956493,0.3769358453780577,0.13832112519057324,0.04531996815750052,0.012439781472307112,0.0027533506743257488
Wright St,1460,0.5226558297915957,0.020129022256918667,0.002914866373196103,0.00021357196873081642,1.4164644199420909e-05,1.0077171184510355e-06,4.2514431668483174e-08
Wyoming,1461,0.4661939261244591,0.1538815568330162,0.03893302391483347,0.010141936712757073,0.0026467016181928988,0.00046446059210026783,0.00010589662375278276
Yale,1463,1.0,0.09321744914159913,0.011995582329164938,0.001115885432371384,9.420472403519835e-05,5.671251959883309e-06,4.439672853992628e-07
